ds,yhat,yhat_lower,yhat_upper
1959-12-01,417.06931722043356,389.8133631725499,446.0503667791565
1960-01-01,426.4536378621243,399.5359763299027,454.50943269543023
1960-02-01,419.4610408904707,387.38031738547045,446.96766337051525
1960-03-01,455.2216032886608,424.74790372341016,485.5481718102416
1960-04-01,455.7800400130144,426.77676696668317,485.9988442252124
1960-05-01,458.5980177647909,429.98617769571376,488.3598916135619
1960-06-01,500.81303494661665,472.4114152596719,529.6082091444266
1960-07-01,539.6117635871117,510.6312262928267,567.1104905166434
1960-08-01,540.5272331474948,512.2631272703694,570.1101896028075
1960-09-01,491.5362192765774,462.0890098809574,521.198068705071
1960-10-01,456.7038104709279,428.7714380008499,486.1802060134484
1960-11-01,421.95537293825345,392.9259152748342,449.497263137378
1960-12-01,451.174707943581,421.791386149172,479.9751215388283
1960-12-31,462.22507745413367,432.7687181900889,492.1074994748567
1961-01-31,454.9040900124816,425.0312484647895,484.2285518654905
1961-02-28,498.09249749828115,469.7125000931882,527.6523267407712
1961-03-31,487.91004413937816,458.0974822774033,516.9641368399112
1961-04-30,498.586948907322,469.3779644128621,528.7541411063938
1961-05-31,534.1643517643412,505.95192718671774,563.6216089325915
1961-06-30,577.3076274572916,549.0398867970582,605.73041318992
1961-07-31,575.7446623007477,546.6817248737144,603.59048080867
1961-08-31,529.3274063275259,502.1202904669185,559.1485670002692
1961-09-30,492.5121269487702,464.02660726316066,522.6784923022318
1961-10-31,462.466932583195,433.4577598266499,491.5938280308109
1961-11-30,492.12321974430813,464.9961640017494,522.4240710073184
1961-12-31,497.9645542360264,469.91148548824873,525.9191404901136
1962-01-31,490.37640370464084,460.64910196996067,518.0584459705734
1962-02-28,536.0424375045856,507.55398459545256,564.2815371424616
1962-03-31,523.7164210367744,494.6701398295917,552.0038696058606
1962-04-30,535.9896323578239,507.98206908699734,566.1373892050754
1962-05-31,570.1987243589859,542.0209553401122,598.1855263686763
1962-06-30,614.1940072376542,585.6377980848172,643.0626606239462
1962-07-31,612.1349394938879,584.4560674076815,642.8393588236542
1962-08-31,566.2889755218781,535.7030535467898,594.1689399498423
1962-09-30,529.1141539816401,501.91054404237957,557.4246953745726
1962-10-31,500.02914788814957,470.5016155744654,528.8612144443018
1962-11-30,529.600069907042,502.1386035952472,558.2831843142237
